catalog_no,title,author_name,published_year,pages,language,status,Source,category1,category2
A0001,අත්ථසාලිනි අත්ථයෝජනා,කෝදාගොඩ පඤ්ඤාසේකර හිමි (ඤාණකිත්ති හිමි),1890-01-01,305,Pali,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0002,අභිධම්මත්‍ථ විභාවිනි ටිකාය,වැලිතර පඤ්ඤානන්ද හිමි,1896-01-01,187,Pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0003,අත්ථසාලිනී අර්ථකථා සන්නය (දම් සඟුණු අටුවා සන්නය),සද්ධානන්දතිස්ස හා සුධම්මානන්දතිස්ස හිමිවරු,1911-01-01,272,Sinhala,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0004,අභිධම්ම මාතිකා ස්වරුපාර්ථ,සීලවතී පිරිස් මිය,1992-01-01,204,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0005,අභිධම්ම හා සුත්තන්ත මාතිකා සන්නය,ඌවෙ විමලසාර හිමි,1910-01-01,198,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0006,අභිධම්මත්ථ විකාසිනී - අභිධම්මාවතාර ටීකා,පොල්වත්තේ බුද්ධත්ත නා හිමි,1961-01-01,477,Pali,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0007,අභිධම්මත්ථ විභාවිනී - අභිධම්මත්ථ සංගහ ටීකා,දෙහිගස්පේ පඤ්ඤාසාර හිමි,1933-01-01,178,Pali,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0008,අභිධම්මමාතිකා පාළි ව්‍යාඛ්‍යානය,සද්ධම්මපාල රත්නායක ශුරින්,1949-01-01,139,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0009,පරමත්තමහෝදදී අභිධම්මාවතාරය සන්නය; ප්‍රථම භාගය,ඇම් අනෝමදස්සී හිමි,1914-01-01,260,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0010,අභිධර්ම කෝෂය - පරමාර්ථ රත්නාවලී; ප්‍රථම භාගය,මොරටුවේ සාසනරතන හිමි,1948-01-01,356,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0011,අභිධර්ම චන්ද්‍රිකාව,මාතර ධර්මවංශ හිමි,1981-01-01,501,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0011,අභිධර්ම චන්ද්‍රිකාව,මාතර ධර්මවංශ හිමි,1981-01-01,563,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0012,ධර්මවිභාගසංක්ෂේපය,හෙය්යන්තුදුවේ දේවමිත්ත හිමි,1888-01-01,64,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0013,අභිධර්ම ප්‍රකාශය; ප්‍රථම භාගය,දොඩම්පහළ කවිධජ හිමි,1939-01-01,497,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0014,අභිධර්ම ප්‍රවේශනය,දොඩම්පහළ කවිධජ හිමි,2010-01-01,384,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0015,පරමාර්ථ ශාරධර්ම විනිශ්චය නොහොත් අභිධර්ම ප්‍රවේශය,ශ්‍රී සුජාත තිස්ස හිමි,1921-01-01,124,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0016,අභිධර්ම මධු බින්දුව,කහන්දාමුවදොර සුමංගල හිමි,1921-01-01,26,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0017,අභිධර්මාර්ත්ථ විභාවනි සන්නය (01),ඇම් ධර්මරත්න පඬිතුමා,1903-01-01,512,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0017,අභිධර්මාර්ත්ථ විභාවනි සන්නය (02),ඇම් ධර්මරත්න පඬිතුමා,1903-01-01,300,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0018,අභිධර්මාර්ත්ථ සංග්‍රහයෙහි ස්වරූප,සීලවතී පීරිස් මිය,1996-01-01,354,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0019,අභිධර්මාර්ථ ප්‍රදීපිකා 1,අමරදාස රත්නපාල මහතා,1964-01-01,545,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0020,අභිධර්මාර්ථ ප්‍රදීපිකා 2,අමරදාස රත්නපාල මහතා,1964-01-01,556,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0021,අභිධර්මාර්ථ ප්‍රදීපිකා 3,අමරදාස රත්නපාල මහතා,1964-01-01,555,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0022,අභිධර්මාර්ථ ප්‍රදීපිකා 4,අමරදාස රත්නපාල මහතා,1964-01-01,643,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0023,අභිධර්මාර්ථ සංග්‍රහය ප්‍රශ්නෝත්තරව්‍යාඛ්‍යා,හික්කඩුවේ ශ්‍රී සුමංගල හිමි,1909-01-01,143,Sinhala,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0024,අභිධර්මාර්ථ සංග්‍රහ පුරාණ සන්නය; තෙවන සංස්කරණය,සිරි පඤ්ඤාමොලීතිස්ස හිමි,1926-01-01,273,Sinhala,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0024,අභිධර්මාර්ථ සංග්‍රහ පුරාණ සන්නය; සිව්වන සංස්කරණය,වලගෙදර සෝමාලෝක තිස්ස හිමි,1950-01-01,290,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0024,අභිධර්මාර්ථ සංග්‍රහ පුරාණ සන්නය; පස්වන සංස්කරණය,වලගෙදර සෝමාලෝක තිස්ස හිමි,1960-01-01,302,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0025,අභිධර්මාර්ථ සංග්‍රහ සංඛේප වන්නනා ටීකා,වැල්ලම්පිටියේ සුමනසාර හිමි,1930-01-01,119,Pali,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0026,ධාතුකථා ප්‍රකරණපාළිය සන්නය,දික්වැල්ලේ ගුණරතන හිමි,1912-01-01,258,Sinhala,Full,Archive.org,අභිධර්ම,අභිධර්ම
A0026,ධාතුකථා ප්‍රකරණපාළිය සන්නය,දික්වැල්ලේ ගුණරතන හිමි,1912-01-01,244,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0027,විමුක්ති සංග්‍රහය,හෙය්යන්තුදුවේ දේවමිත්ත හිමි,1888-01-01,150,sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0028,සිත සිරුර සහ නිවන හෙවත් ධම්මසංගනී,යාගොඩ ධම්මප්‍රභ හිමි,1964-01-01,,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0029,අභිධම්මතථ සංගහො - නවනීත ටීකා,කොසම්බිකුල ධම්මානන්ද ශුරින්,1969-01-01,205,Pali,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0030,පට්ඨාන දේසනා සාරය,යාගොඩ ධම්මප්‍රභ හිමි,1962-01-01,476,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0031,පට්ඨාන ප්‍රකරණ භාව සන්නය,හඳුන්කඩුවේ සුමන හිමි,1926-01-01,300,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0032,පරමත්ථවිනිච්ඡය සහ පරමත්ථ විභාවිනී,අම්බලන්ගොඩ දේවානන්ද හිමි,1926-01-01,359,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0033,ලෝක නිත්ථරණය - හේතුඵල වාදය,වෙඬරුවේ අනෝමදස්සී හිමි,1955-01-01,211,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0034,විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 01,මොරටුවේ මේධානන්ද හිමි,1929-01-01,608,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0034,විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 02,මොරටුවේ මේධානන්ද හිමි,1929-01-01,494,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0034,විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 03,මොරටුවේ මේධානන්ද හිමි,1929-01-01,428,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0034,විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 04,මොරටුවේ මේධානන්ද හිමි,1950-01-01,310,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0034,විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 05,මොරටුවේ මේධානන්ද හිමි,1954-01-01,510,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0035,විමුක්ති මාර්ගොදය (බොජ්ඣංග),දික්වැල්ලේ සීලරතන හිමි,1930-01-01,284,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0036,සච්ච සංඛේප ටීකා සන්නය,මොරටුවේ මේධානන්ද හිමි,1912-01-01,220,Sinhala,Full,Dammadana Web,අභිධර්ම,අභිධර්ම
A0037,විස්තර භාවසන්න සහිත පටිච්චසමුප්පදය,ඇම් සී ද සිල්වා මහතා,1935-01-01,96,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0038,වීථි භාසා ටීකාව ‌හෙවත් වීථි විභාගය,දිගන සුගතවංශ හිමි,,66,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0039,වීථි විභාගය සහිත පට්ඨාන ත්‍රී රාසිය,නා උයනේ අරියධම්ම හිමි,2011-01-01,84,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0040,අභිධර්මාර්ථ සංග්‍රහ සන්නය; අත් පිටපත,වජිරාරාමය,1930-01-01,325,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0041,සම්මෝහවිනෝදනි අත්ථයෝජනා,කෝදාගොඩ පඤ්ඤාසේකර හිමි (ඤාණකිත්ති හිමි),1890-01-01,287,Pali,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0042,ස්කන්ධාදීන්ගේ විභාගය හා විමුක්ති සංග්‍රහය,හෝමාගම සීලරතන හිමි,1925-01-01,222,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
A0043,අභිධර්මය - ප්‍රථම භාගය,දෙවිනුවර ඤාණාවාස හිමි,1955-01-01,78,Sinhala,Full,Path Nirwana,අභිධර්ම,අභිධර්ම
R0001,මහා වංශය පාලි,ධම්මවිචය ග්‍රන්ථ,,526,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0002,චුලවංශ ග්‍රන්ථ පාලි,ධම්මවිචය ග්‍රන්ථ,,23,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0003,සාසනවංසප්‍රදීපිකා,ධම්මවිචය ග්‍රන්ථ,,136,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0004,රසවාහිනී,ධම්මවිචය ග්‍රන්ථ,,145,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0005,සිමාවිශෝධනි,ධම්මවිචය ග්‍රන්ථ,,102,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0006,වෙස්සන්තරාගිති,ධම්මවිචය ග්‍රන්ථ,,91,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0007,මොග්ගල්ලාන වුත්තිවිවරණපංචිකා,ධම්මවිචය ග්‍රන්ථ,,155,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0008,ථූපවංස,ධම්මවිචය ග්‍රන්ථ,,93,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0009,ධාඨාවංස,ධම්මවිචය ග්‍රන්ථ,,59,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0010,ධතුපාටවිලාසිනි,ධම්මවිචය ග්‍රන්ථ,,7,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0011,ධාතුවංස,ධම්මවිචය ග්‍රන්ථ,,57,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
