"id","catalog_no","title","author_name","published_year","pages","language","status","source","category1","category2"
"1424","A0003","අත්ථසාලිනී අර්ථකථා සන්නය (දම් සඟුණු අටුවා සන්නය)","සද්ධානන්දතිස්ස හා සුධම්මානන්දතිස්ස හිමිවරු","1911-01-01",272,"Sinhala","Full","Paramaththa","අභිධර්ම","අභිධර්ම"
"1425","A0004","අභිධම්ම මාතිකා ස්වරුපාර්ථ","සීලවතී පිරිස් මිය","1992-01-01",204,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1426","A0005","අභිධම්ම හා සුත්තන්ත මාතිකා සන්නය","ඌවෙ විමලසාර හිමි","1910-01-01",198,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1429","A0008","අභිධම්මමාතිකා පාළි ව්‍යාඛ්‍යානය","සද්ධම්මපාල රත්නායක ශුරින්","1949-01-01",139,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1430","A0009","පරමත්තමහෝදදී අභිධම්මාවතාරය සන්නය; ප්‍රථම භාගය","ඇම් අනෝමදස්සී හිමි","1914-01-01",260,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1431","A0010","අභිධර්ම කෝෂය - පරමාර්ථ රත්නාවලී; ප්‍රථම භාගය","මොරටුවේ සාසනරතන හිමි","1948-01-01",356,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1432","A0011","අභිධර්ම චන්ද්‍රිකාව","මාතර ධර්මවංශ හිමි","1981-01-01",501,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1433","A0011","අභිධර්ම චන්ද්‍රිකාව","මාතර ධර්මවංශ හිමි","1981-01-01",563,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1434","A0012","ධර්මවිභාගසංක්ෂේපය","හෙය්යන්තුදුවේ දේවමිත්ත හිමි","1888-01-01",64,"Sinhala","Full","Daham Madura","අභිධර්ම","අභිධර්ම"
"1435","A0013","අභිධර්ම ප්‍රකාශය; ප්‍රථම භාගය","දොඩම්පහළ කවිධජ හිමි","1939-01-01",497,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1436","A0014","අභිධර්ම ප්‍රවේශනය","දොඩම්පහළ කවිධජ හිමි","2010-01-01",384,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1437","A0015","පරමාර්ථ ශාරධර්ම විනිශ්චය නොහොත් අභිධර්ම ප්‍රවේශය","ශ්‍රී සුජාත තිස්ස හිමි","1921-01-01",124,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1438","A0016","අභිධර්ම මධු බින්දුව","කහන්දාමුවදොර සුමංගල හිමි","1921-01-01",26,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1439","A0017","අභිධර්මාර්ත්ථ විභාවනි සන්නය (01)","ඇම් ධර්මරත්න පඬිතුමා","1903-01-01",512,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1440","A0017","අභිධර්මාර්ත්ථ විභාවනි සන්නය (02)","ඇම් ධර්මරත්න පඬිතුමා","1903-01-01",300,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1441","A0018","අභිධර්මාර්ත්ථ සංග්‍රහයෙහි ස්වරූප","සීලවතී පීරිස් මිය","1996-01-01",354,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1442","A0019","අභිධර්මාර්ථ ප්‍රදීපිකා 1","අමරදාස රත්නපාල මහතා","1964-01-01",545,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1443","A0020","අභිධර්මාර්ථ ප්‍රදීපිකා 2","අමරදාස රත්නපාල මහතා","1964-01-01",556,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1444","A0021","අභිධර්මාර්ථ ප්‍රදීපිකා 3","අමරදාස රත්නපාල මහතා","1964-01-01",555,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1445","A0022","අභිධර්මාර්ථ ප්‍රදීපිකා 4","අමරදාස රත්නපාල මහතා","1964-01-01",643,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1446","A0023","අභිධර්මාර්ථ සංග්‍රහය ප්‍රශ්නෝත්තරව්‍යාඛ්‍යා","හික්කඩුවේ ශ්‍රී සුමංගල හිමි","1909-01-01",143,"Sinhala","Full","Paramaththa","අභිධර්ම","අභිධර්ම"
"1447","A0024","අභිධර්මාර්ථ සංග්‍රහ පුරාණ සන්නය; තෙවන සංස්කරණය","සිරි පඤ්ඤාමොලීතිස්ස හිමි","1926-01-01",273,"Sinhala","Full","Paramaththa","අභිධර්ම","අභිධර්ම"
"1448","A0024","අභිධර්මාර්ථ සංග්‍රහ පුරාණ සන්නය; සිව්වන සංස්කරණය","වලගෙදර සෝමාලෝක තිස්ස හිමි","1950-01-01",290,"Sinhala","Full","Daham Madura","අභිධර්ම","අභිධර්ම"
"1449","A0024","අභිධර්මාර්ථ සංග්‍රහ පුරාණ සන්නය; පස්වන සංස්කරණය","වලගෙදර සෝමාලෝක තිස්ස හිමි","1960-01-01",302,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1451","A0026","ධාතුකථා ප්‍රකරණපාළිය සන්නය","දික්වැල්ලේ ගුණරතන හිමි","1912-01-01",258,"Sinhala","Full","Archive.org","අභිධර්ම","අභිධර්ම"
"1452","A0026","ධාතුකථා ප්‍රකරණපාළිය සන්නය","දික්වැල්ලේ ගුණරතන හිමි","1912-01-01",244,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1454","A0028","සිත සිරුර සහ නිවන හෙවත් ධම්මසංගනී","යාගොඩ ධම්මප්‍රභ හිමි","1964-01-01",NULL,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1456","A0030","පට්ඨාන දේසනා සාරය","යාගොඩ ධම්මප්‍රභ හිමි","1962-01-01",476,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1457","A0031","පට්ඨාන ප්‍රකරණ භාව සන්නය","හඳුන්කඩුවේ සුමන හිමි","1926-01-01",300,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1458","A0032","පරමත්ථවිනිච්ඡය සහ පරමත්ථ විභාවිනී","අම්බලන්ගොඩ දේවානන්ද හිමි","1926-01-01",359,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1459","A0033","ලෝක නිත්ථරණය - හේතුඵල වාදය","වෙඬරුවේ අනෝමදස්සී හිමි","1955-01-01",211,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1460","A0034","විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 01","මොරටුවේ මේධානන්ද හිමි","1929-01-01",608,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1461","A0034","විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 02","මොරටුවේ මේධානන්ද හිමි","1929-01-01",494,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1462","A0034","විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 03","මොරටුවේ මේධානන්ද හිමි","1929-01-01",428,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1463","A0034","විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 04","මොරටුවේ මේධානන්ද හිමි","1950-01-01",310,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1464","A0034","විභඞ්ග අටුවා සන්නය - අභිධර්මප්‍රදීපිකා 05","මොරටුවේ මේධානන්ද හිමි","1954-01-01",510,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1465","A0035","විමුක්ති මාර්ගොදය (බොජ්ඣංග)","දික්වැල්ලේ සීලරතන හිමි","1930-01-01",284,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1466","A0036","සච්ච සංඛේප ටීකා සන්නය","මොරටුවේ මේධානන්ද හිමි","1912-01-01",220,"Sinhala","Full","Dammadana Web","අභිධර්ම","අභිධර්ම"
"1467","A0037","විස්තර භාවසන්න සහිත පටිච්චසමුප්පදය","ඇම් සී ද සිල්වා මහතා","1935-01-01",96,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1468","A0038","වීථි භාසා ටීකාව ‌හෙවත් වීථි විභාගය","දිගන සුගතවංශ හිමි",NULL,66,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1469","A0039","වීථි විභාගය සහිත පට්ඨාන ත්‍රී රාසිය","නා උයනේ අරියධම්ම හිමි","2011-01-01",84,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1470","A0040","අභිධර්මාර්ථ සංග්‍රහ සන්නය; අත් පිටපත","වජිරාරාමය","1930-01-01",325,"Sinhala","Full","Daham Madura","අභිධර්ම","අභිධර්ම"
"1472","A0042","ස්කන්ධාදීන්ගේ විභාගය හා විමුක්ති සංග්‍රහය","හෝමාගම සීලරතන හිමි","1925-01-01",222,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1473","A0043","අභිධර්මය - ප්‍රථම භාගය","දෙවිනුවර ඤාණාවාස හිමි","1955-01-01",78,"Sinhala","Full","Path Nirwana","අභිධර්ම","අභිධර්ම"
"1453","A0027","විමුක්ති සංග්‍රහය","හෙය්යන්තුදුවේ දේවමිත්ත හිමි","1888-01-01",150,"Sinhala","Full","Daham Madura","අභිධර්ම","අභිධර්ම"
"1422","A0001","අත්ථසාලිනි අත්ථයෝජනා","කෝදාගොඩ පඤ්ඤාසේකර හිමි (ඤාණකිත්ති හිමි)","1890-01-01",305,"Pali","Full","Paramaththa","අභිධර්ම","අභිධර්ම"
"1423","A0002","අභිධම්මත්‍ථ විභාවිනි ටිකාය","වැලිතර පඤ්ඤානන්ද හිමි","1896-01-01",187,"Pali","Full","Daham Madura","අභිධර්ම","අභිධර්ම"
"1488","R0015","තේලකටහගාථා","ධම්මවිචය ග්‍රන්ථ",NULL,18,"Sinhala","Full","Na Uyana","ධර්ම සංග්‍රහ ග්‍රන්ථ","ඡට්ට සංගායන ග්‍රන්ථ (පාලි)"
"1508","RE0001","අභිනව යෝගමුක්තාවලිය","ඩි සි යාගබමුනු","1900-01-01",38,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1509","RE0002","ගෙඩි වෙදකම",NULL,NULL,100,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1510","RE0003","චරක සංහිතාව","ආර් බුද්ධදාස","1960-01-01",992,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
